test,stratum,chamber,label,group,congress,committee_n,n_D,n_R,n_I,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,108,19,9,10,0,100,0.192,0.0795,0.1125,0.1125,0.003,0.289,FALSE,0.32256774322567744
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,109,18,8,10,0,101,0.253,0.185,0.068,0.068,0.035500000000000004,0.3355,FALSE,0.43285671432856715
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,110,20,10,10,0,102,0.0945,0.019000000000000003,0.0755,0.0755,-0.06849999999999999,0.1135,FALSE,0.12418758124187582
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,111,19,11,8,0,111,-0.199,-0.205,0.005999999999999978,0.005999999999999978,-0.276,-0.057,FALSE,0.8241175882411759
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,112,18,10,8,0,102,-0.1145,-0.156,0.041499999999999995,0.041499999999999995,-0.253,-0.0435,FALSE,0.5313468653134686
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,113,19,10,8,1,105,-0.199,-0.193,-0.006000000000000005,0.006000000000000005,-0.278,-0.119,FALSE,0.9292070792920708
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,114,18,7,10,1,100,0.286,0.286,0,0,0.1635,0.397,FALSE,1
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,115,20,8,11,1,105,0.286,0.285,0.0010000000000000009,0.0010000000000000009,0.1635,0.4075,FALSE,0.9885011498850115
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,116,19,8,10,1,102,0.285,0.2855,-5.000000000000004e-4,5.000000000000004e-4,0.124,0.402,FALSE,1
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,117,18,8,9,1,102,0.05799999999999998,0.0335,0.02449999999999998,0.02449999999999998,-0.05500000000000001,0.165,FALSE,0.772022797720228
stratified_primary,overall,House,House Agriculture,predicted,103,53,31,22,0,443,-0.103,-0.165,0.06200000000000001,0.06200000000000001,-0.233,-0.08,FALSE,0.1464853514648535
stratified_primary,overall,House,House Agriculture,predicted,104,50,22,28,0,445,0.3065,0.178,0.1285,0.1285,0.1504875,0.278,TRUE,0.006799320067993201
stratified_primary,overall,House,House Agriculture,predicted,105,50,23,27,0,444,0.29000000000000004,0.158,0.13200000000000003,0.13200000000000003,0.11549999999999999,0.27949999999999997,TRUE,0.0165983401659834
stratified_primary,overall,House,House Agriculture,predicted,106,52,25,27,0,440,0.26549999999999996,0.135,0.13049999999999995,0.13049999999999995,0.052,0.2465,TRUE,0.0082991700829917
stratified_primary,overall,House,House Agriculture,predicted,107,52,24,28,0,444,0.287,0.158,0.12899999999999998,0.12899999999999998,0.1315,0.2835,TRUE,0.0193980601939806
stratified_primary,overall,House,House Agriculture,predicted,108,53,25,28,0,440,0.265,0.211,0.05400000000000002,0.05400000000000002,0.129,0.274,FALSE,0.15998400159984003
stratified_primary,overall,House,House Agriculture,predicted,109,48,22,26,0,439,0.2705,0.229,0.04150000000000001,0.04150000000000001,0.16849999999999998,0.296,FALSE,0.15858414158584141
stratified_primary,overall,House,House Agriculture,predicted,110,48,26,22,0,449,-0.11249999999999999,-0.155,0.04250000000000001,0.04250000000000001,-0.264,-0.08199999999999999,FALSE,0.3104689531046895
stratified_primary,overall,House,House Agriculture,predicted,111,49,30,19,0,448,-0.11,-0.184,0.074,0.074,-0.293,-0.133,TRUE,0.2131786821317868
stratified_primary,overall,House,House Agriculture,predicted,112,47,20,27,0,445,0.335,0.269,0.066,0.066,0.224,0.367,FALSE,0.1136886311368863
stratified_primary,overall,House,House Agriculture,predicted,113,49,22,27,0,444,0.306,0.2585,0.04749999999999999,0.04749999999999999,0.22,0.362,FALSE,0.21347865213478653
stratified_primary,overall,House,House Agriculture,predicted,114,45,18,27,0,441,0.335,0.292,0.04300000000000004,0.04300000000000004,0.244,0.405,FALSE,0.418958104189581
stratified_primary,overall,House,House Agriculture,predicted,115,43,19,24,0,450,0.279,0.28049999999999997,-0.0014999999999999458,0.0014999999999999458,0.22,0.392,FALSE,1
stratified_primary,overall,House,House Agriculture,predicted,116,49,26,23,0,449,-0.148,-0.194,0.04600000000000001,0.04600000000000001,-0.263,-0.131,FALSE,0.19938006199380062
stratified_primary,overall,House,House Agriculture,predicted,117,49,25,24,0,455,-0.169,-0.164,-0.0050000000000000044,0.0050000000000000044,-0.25,-0.107,FALSE,0.7875212478752125
stratified_primary,overall,House,House Armed Services,predicted,103,56,34,22,0,443,-0.11699999999999999,-0.165,0.048000000000000015,0.048000000000000015,-0.2495,-0.1045,FALSE,0.19638036196380362
stratified_primary,overall,House,House Armed Services,predicted,104,54,24,30,0,445,0.235,0.178,0.056999999999999995,0.056999999999999995,0.1465,0.27,FALSE,0.202979702029797
stratified_primary,overall,House,House Armed Services,predicted,105,61,28,33,0,444,0.238,0.158,0.07999999999999999,0.07999999999999999,0.122,0.269,FALSE,0.19688031196880312
stratified_primary,overall,House,House Armed Services,predicted,106,60,27,33,0,440,0.235,0.135,0.09999999999999998,0.09999999999999998,0.1515,0.289,FALSE,0.3301669833016698
stratified_primary,overall,House,House Armed Services,predicted,107,63,28,35,0,444,0.238,0.158,0.07999999999999999,0.07999999999999999,0.167,0.296,FALSE,0.5155484451554845
stratified_primary,overall,House,House Armed Services,predicted,108,63,30,33,0,440,0.211,0.211,0,0,0.129,0.265,FALSE,1
stratified_primary,overall,House,House Armed Services,predicted,109,62,27,35,0,439,0.235,0.229,0.005999999999999978,0.005999999999999978,0.216,0.3095,FALSE,0.8929107089291071
stratified_primary,overall,House,House Armed Services,predicted,110,66,35,31,0,449,-0.108,-0.155,0.047,0.047,-0.22999999999999998,-0.0665,FALSE,0.22237776222377761
stratified_primary,overall,House,House Armed Services,predicted,111,66,40,26,0,448,-0.111,-0.184,0.073,0.073,-0.2785125,-0.145,TRUE,0.128987101289871
stratified_primary,overall,House,House Armed Services,predicted,112,64,29,35,0,445,0.23299999999999998,0.269,-0.03600000000000003,0.03600000000000003,0.217,0.329,FALSE,0.24967503249675033
stratified_primary,overall,House,House Armed Services,predicted,113,64,29,35,0,444,0.23299999999999998,0.2585,-0.025500000000000023,0.025500000000000023,0.221,0.3405,FALSE,0.4233576642335766
stratified_primary,overall,House,House Armed Services,predicted,114,63,26,37,0,441,0.308,0.292,0.016000000000000014,0.016000000000000014,0.244,0.384,FALSE,0.6613338666133387
stratified_primary,overall,House,House Armed Services,predicted,115,67,31,36,0,450,0.265,0.28049999999999997,-0.015499999999999958,0.015499999999999958,0.211,0.34,FALSE,0.7472252774722528
stratified_primary,overall,House,House Armed Services,predicted,116,58,32,26,0,449,-0.1635,-0.194,0.0305,0.0305,-0.27849999999999997,-0.1585,FALSE,0.45245475452454753
stratified_primary,overall,House,House Armed Services,predicted,117,57,30,27,0,455,-0.161,-0.164,0.0030000000000000027,0.0030000000000000027,-0.264,-0.143,FALSE,0.9059094090590941
stratified_primary,overall,House,House Natural Resources,predicted,103,41,26,15,0,443,-0.243,-0.165,-0.07799999999999999,0.07799999999999999,-0.288,-0.112,FALSE,0.15098490150984903
stratified_primary,overall,House,House Natural Resources,predicted,104,47,20,27,0,445,0.244,0.178,0.066,0.066,0.162,0.303,FALSE,0.29857014298570145
stratified_primary,overall,House,House Natural Resources,predicted,105,49,22,27,0,444,0.244,0.158,0.086,0.086,0.129,0.303,FALSE,0.24167583241675833
stratified_primary,overall,House,House Natural Resources,predicted,106,49,21,28,0,440,0.283,0.135,0.14799999999999996,0.14799999999999996,0.184,0.32,FALSE,0.1733826617338266
