chamber,label,group,congress,committee_n,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
House,House Armed Services,predicted,112,64,445,0.23299999999999998,0.269,-0.03600000000000003,0.03600000000000003,-0.2595,0.3750124999999998,FALSE,0.6197380261973803
House,House Armed Services,predicted,113,64,444,0.23299999999999998,0.2585,-0.025500000000000023,0.025500000000000023,-0.268,0.3855,FALSE,0.7685231476852314
House,House Armed Services,predicted,114,63,441,0.308,0.292,0.016000000000000014,0.016000000000000014,-0.262,0.402,FALSE,0.7955204479552045
House,House Armed Services,predicted,115,67,450,0.265,0.28049999999999997,-0.015499999999999958,0.015499999999999958,-0.263,0.403,FALSE,0.8569143085691431
House,House Armed Services,predicted,116,58,449,-0.1635,-0.194,0.0305,0.0305,-0.3055,0.36,FALSE,0.7701229877012299
House,House Armed Services,predicted,117,57,455,-0.161,-0.164,0.0030000000000000027,0.0030000000000000027,-0.303,0.383,FALSE,0.9709029097090291
House,House Natural Resources,predicted,103,41,443,-0.243,-0.165,-0.07799999999999999,0.07799999999999999,-0.294,0.203,FALSE,0.39416058394160586
House,House Natural Resources,predicted,104,47,445,0.244,0.178,0.066,0.066,-0.255,0.316,FALSE,0.5800419958004199
House,House Natural Resources,predicted,105,49,444,0.244,0.158,0.086,0.086,-0.289,0.329,FALSE,0.5940405959404059
House,House Natural Resources,predicted,106,49,440,0.283,0.135,0.14799999999999996,0.14799999999999996,-0.292,0.32,FALSE,0.49805019498050196
House,House Natural Resources,predicted,107,52,444,0.2975,0.158,0.13949999999999999,0.13949999999999999,-0.2845,0.32,FALSE,0.46135386461353867
House,House Natural Resources,predicted,108,53,440,0.265,0.211,0.05400000000000002,0.05400000000000002,-0.283,0.323,FALSE,0.617038296170383
House,House Natural Resources,predicted,109,46,439,0.274,0.229,0.04500000000000001,0.04500000000000001,-0.28801250000000006,0.3385,FALSE,0.6238376162383762
House,House Natural Resources,predicted,110,50,449,0.22099999999999997,-0.155,0.376,0.376,-0.307,0.299,FALSE,0.1820817918208179
House,House Natural Resources,predicted,111,45,448,-0.184,-0.184,0,0,-0.312,0.269,FALSE,1
House,House Natural Resources,predicted,112,45,445,0.384,0.269,0.11499999999999999,0.11499999999999999,-0.291,0.392,FALSE,0.27387261273872615
House,House Natural Resources,predicted,113,47,444,0.401,0.2585,0.14250000000000002,0.14250000000000002,-0.291,0.4,TRUE,0.3016698330166983
House,House Natural Resources,predicted,114,42,441,0.344,0.292,0.05199999999999999,0.05199999999999999,-0.28751249999999995,0.4255,FALSE,0.5734426557344265
House,House Natural Resources,predicted,115,43,450,0.372,0.28049999999999997,0.09150000000000003,0.09150000000000003,-0.289,0.43402499999999966,FALSE,0.42325767423257676
House,House Natural Resources,predicted,116,43,449,-0.207,-0.194,-0.012999999999999984,0.012999999999999984,-0.325,0.385,FALSE,0.9133086691330867
House,House Natural Resources,predicted,117,43,455,-0.236,-0.164,-0.07199999999999998,0.07199999999999998,-0.31204999999999994,0.404,FALSE,0.7288271172882712
House,House Transportation & Infrastructure,predicted,103,63,443,-0.097,-0.165,0.068,0.068,-0.262,0.122,FALSE,0.30756924307569244
House,House Transportation & Infrastructure,predicted,104,70,445,0.135,0.178,-0.04299999999999998,0.04299999999999998,-0.20350000000000001,0.2855,FALSE,0.6765323467653235
House,House Transportation & Infrastructure,predicted,105,76,444,0.2015,0.158,0.04350000000000001,0.04350000000000001,-0.2560125,0.3035124999999998,FALSE,0.8151184881511849
House,House Transportation & Infrastructure,predicted,106,76,440,0.211,0.135,0.07599999999999998,0.07599999999999998,-0.2620125,0.2985,FALSE,0.7415258474152585
House,House Transportation & Infrastructure,predicted,107,80,444,0.211,0.158,0.05299999999999999,0.05299999999999999,-0.2605,0.2935,FALSE,0.7991200879912009
House,House Transportation & Infrastructure,predicted,108,74,440,0.2075,0.211,-0.003500000000000003,0.003500000000000003,-0.256,0.3115,FALSE,0.9819018098190181
House,House Transportation & Infrastructure,predicted,109,74,439,0.211,0.229,-0.018000000000000016,0.018000000000000016,-0.2515,0.3180124999999998,FALSE,0.7264273572642735
House,House Transportation & Infrastructure,predicted,110,79,449,-0.119,-0.155,0.036000000000000004,0.036000000000000004,-0.283,0.259,FALSE,0.7449255074492551
House,House Transportation & Infrastructure,predicted,111,77,448,-0.142,-0.184,0.04200000000000001,0.04200000000000001,-0.291,0.211,FALSE,0.5198480151984801
House,House Transportation & Infrastructure,predicted,112,60,445,0.2735,0.269,0.004500000000000004,0.004500000000000004,-0.2655,0.37753749999999947,FALSE,0.9622037796220378
House,House Transportation & Infrastructure,predicted,113,61,444,0.278,0.2585,0.019500000000000017,0.019500000000000017,-0.274025,0.386,FALSE,0.8475152484751525
House,House Transportation & Infrastructure,predicted,114,59,441,0.276,0.292,-0.01599999999999996,0.01599999999999996,-0.264,0.402,FALSE,0.8223177682231777
House,House Transportation & Infrastructure,predicted,115,61,450,0.278,0.28049999999999997,-0.0024999999999999467,0.0024999999999999467,-0.274,0.422,FALSE,0.9714028597140286
House,House Transportation & Infrastructure,predicted,116,66,449,-0.229,-0.194,-0.035,0.035,-0.29701249999999996,0.3495,FALSE,0.7165283471652835
House,House Transportation & Infrastructure,predicted,117,64,455,-0.236,-0.164,-0.07199999999999998,0.07199999999999998,-0.293,0.369,FALSE,0.7151284871512849
Senate,Senate Agriculture,predicted,103,18,102,-0.1185,-0.1435,0.024999999999999994,0.024999999999999994,-0.298,0.2455,FALSE,0.8937106289371063
Senate,Senate Agriculture,predicted,104,20,103,0.27449999999999997,0.084,0.19049999999999995,0.19049999999999995,-0.2665,0.3210124999999998,FALSE,0.39706029397060294
Senate,Senate Agriculture,predicted,105,18,100,0.2955,0.153,0.1425,0.1425,-0.2665,0.361,FALSE,0.5415458454154585
Senate,Senate Agriculture,predicted,106,19,102,0.28,0.135,0.14500000000000002,0.14500000000000002,-0.262,0.356,FALSE,0.4747525247475253
Senate,Senate Agriculture,predicted,107,21,101,0.146,0.003,0.143,0.143,-0.268,0.344,FALSE,0.7226277372262774
Senate,Senate Agriculture,predicted,108,21,100,0.185,0.0795,0.1055,0.1055,-0.268,0.338,FALSE,0.7896210378962104
Senate,Senate Agriculture,predicted,109,20,101,0.236,0.185,0.05099999999999999,0.05099999999999999,-0.2675,0.3625,FALSE,0.8237176282371763
Senate,Senate Agriculture,predicted,110,21,102,-0.03,0.019000000000000003,-0.049,0.049,-0.276,0.362,FALSE,1
Senate,Senate Agriculture,predicted,111,21,111,-0.166,-0.205,0.03899999999999998,0.03899999999999998,-0.313,0.287,FALSE,0.508049195080492
Senate,Senate Agriculture,predicted,112,21,102,-0.03,-0.156,0.126,0.126,-0.276,0.381,FALSE,0.42775722427757223
Senate,Senate Agriculture,predicted,113,22,105,-0.16699999999999998,-0.193,0.026000000000000023,0.026000000000000023,-0.2990375,0.3785,FALSE,0.7177282271772822
Senate,Senate Agriculture,predicted,114,20,100,0.3245,0.286,0.038500000000000034,0.038500000000000034,-0.262,0.4185,FALSE,0.892010798920108
